127.0.0.1 - - [29/May/2024:22:27:28 +0500] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/May/2024:22:27:28 +0500] "GET /poster/WEB-INF/classes/Login.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [29/May/2024:22:27:28 +0500] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/May/2024:22:27:46 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:27:54 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:27:54 +0500] "GET /poster/Dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:31:45 +0500] "GET /poster/Dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:31:50 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:31:50 +0500] "GET /poster/Dashboard HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:15 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:15 +0500] "GET /poster/Dashboard HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:18 +0500] "GET /poster/Dashboard HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:19 +0500] "GET /poster/Dashboard HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:21 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:26 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:32:26 +0500] "GET /poster/Dashboard HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/May/2024:22:34:55 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:35:01 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:35:01 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:06 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:06 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:07 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:07 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:10 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:10 +0500] "GET /poster/Dashboard HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:12 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:18 +0500] "POST /poster/Login HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:25 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:36:25 +0500] "GET /poster/Dashboard HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/May/2024:22:39:57 +0500] "GET /poster/Dashboard HTTP/1.1" 500 1368
0:0:0:0:0:0:0:1 - - [29/May/2024:22:40:08 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:40:08 +0500] "GET /poster/Dashboard HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/May/2024:22:43:57 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:44:04 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:44:04 +0500] "GET /poster/Dashboard HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [29/May/2024:22:44:48 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:44:53 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:44:53 +0500] "GET /poster/Dashboard HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:00 +0500] "GET /poster/Dashboard HTTP/1.1" 500 1319
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:03 +0500] "GET /poster/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:05 +0500] "GET /poster/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:05 +0500] "GET /poster/js/emailValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:14 +0500] "POST /poster/Register HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:32 +0500] "GET /poster/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:52:46 +0500] "GET /poster/Dashboard HTTP/1.1" 200 23
