127.0.0.1 - - [05/Jun/2024:09:11:14 +0500] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:15 +0500] "GET /poster/index.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:25 +0500] "GET /poster/login.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:34 +0500] "GET /poster/register.jsp HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:34 +0500] "GET /poster/js/emailValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:45 +0500] "POST /poster/Register HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:45 +0500] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:57 +0500] "POST /poster/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:11:57 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:12:01 +0500] "GET /poster/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:12:01 +0500] "GET /poster/login.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:12:03 +0500] "GET /poster/index.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:15:51 +0500] "GET /poster/index.jsp HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:16:34 +0500] "GET /poster/index.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:16:40 +0500] "GET /poster/index.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:18:51 +0500] "GET /poster/index.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:18:54 +0500] "GET /poster/index.jsp HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:20:38 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:21:53 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:22:16 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:09 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:17 +0500] "GET /poster/login.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:22 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:22 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:27 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 4566
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:29 +0500] "GET /poster/createPost.jsp HTTP/1.1" 200 3525
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:46 +0500] "POST /poster/SavePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:46 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:23:57 +0500] "GET /poster/searchPost.jsp?title=hello HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:24:19 +0500] "GET /poster/adminDashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:24:19 +0500] "GET /poster/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:24:19 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:24:50 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:24:52 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:02 +0500] "GET /poster/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:02 +0500] "GET /poster/login.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:27 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:27 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:29 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:33 +0500] "GET /poster/createPost.jsp HTTP/1.1" 200 3525
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:44 +0500] "POST /poster/SavePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:44 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 7752
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:52 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:55 +0500] "GET /poster/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:25:55 +0500] "GET /poster/login.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:00 +0500] "POST /poster/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:00 +0500] "GET /poster/adminDashboard.jsp HTTP/1.1" 200 9177
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:24 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 8403
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:34 +0500] "GET /poster/simpleDashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:34 +0500] "GET /poster/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:34 +0500] "GET /poster/index.jsp HTTP/1.1" 200 4572
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:36 +0500] "GET /poster/adminDashboard.jsp HTTP/1.1" 200 9177
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:52 +0500] "GET /poster/DeleteUser?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:52 +0500] "GET /poster/adminDashboard.jsp HTTP/1.1" 200 8409
0:0:0:0:0:0:0:1 - - [05/Jun/2024:09:26:55 +0500] "GET /poster/showPost.jsp HTTP/1.1" 200 6628
